nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,38817001,3216192002001,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 002,38817002,3216192002002,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 003,38817003,3216192002003,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 004,38817004,3216192002004,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 005,38817005,3216192002005,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 006,38817006,3216192002006,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 007,38817007,3216192002007,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 008,38817008,3216192002008,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 009,38817009,3216192002009,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 010,38817010,3216192002010,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 011,38817011,3216192002011,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 012,38817012,3216192002012,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 013,38817013,3216192002013,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 014,38817014,3216192002014,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 015,38817015,3216192002015,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 016,38817016,3216192002016,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 017,38817017,3216192002017,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 018,38817018,3216192002018,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 019,38817019,3216192002019,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 020,38817020,3216192002020,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 021,38817021,3216192002021,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
TPS 022,38817022,3216192002022,5,JAWA BARAT,32,BEKASI,3216,CIKARANG SELATAN,321619,SUKASEJATI,3216192002
