nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,39445001,3276021008001,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 002,39445002,3276021008002,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 003,39445003,3276021008003,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 004,39445004,3276021008004,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 005,39445005,3276021008005,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 006,39445006,3276021008006,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 007,39445007,3276021008007,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 008,39445008,3276021008008,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 009,39445009,3276021008009,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 010,39445010,3276021008010,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 011,39445011,3276021008011,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 012,39445012,3276021008012,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 013,39445013,3276021008013,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 014,39445014,3276021008014,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 015,39445015,3276021008015,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 016,39445016,3276021008016,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 017,39445017,3276021008017,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 018,39445018,3276021008018,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 019,39445019,3276021008019,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 020,39445020,3276021008020,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 021,39445021,3276021008021,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 022,39445022,3276021008022,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 023,39445023,3276021008023,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 024,39445024,3276021008024,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 025,39445025,3276021008025,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 026,39445026,3276021008026,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 027,39445027,3276021008027,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 028,39445028,3276021008028,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 029,39445029,3276021008029,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 030,39445030,3276021008030,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 031,39445031,3276021008031,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 032,39445032,3276021008032,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 033,39445033,3276021008033,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 034,39445034,3276021008034,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 035,39445035,3276021008035,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 036,39445036,3276021008036,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 037,39445037,3276021008037,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 038,39445038,3276021008038,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 039,39445039,3276021008039,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 040,39445040,3276021008040,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 041,39445041,3276021008041,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 042,39445042,3276021008042,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 043,39445043,3276021008043,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 044,39445044,3276021008044,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 045,39445045,3276021008045,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 046,39445046,3276021008046,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 047,39445047,3276021008047,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 048,39445048,3276021008048,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
TPS 049,39445049,3276021008049,5,JAWA BARAT,32,KOTA DEPOK,3276,CIMANGGIS,327602,CURUG,3276021008
