nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,34979001,3204292001001,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 002,34979002,3204292001002,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 003,34979003,3204292001003,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 004,34979004,3204292001004,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 005,34979005,3204292001005,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 006,34979006,3204292001006,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 007,34979007,3204292001007,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 008,34979008,3204292001008,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 009,34979009,3204292001009,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 010,34979010,3204292001010,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 011,34979011,3204292001011,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 012,34979012,3204292001012,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 013,34979013,3204292001013,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 014,34979014,3204292001014,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 015,34979015,3204292001015,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 016,34979016,3204292001016,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 017,34979017,3204292001017,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 018,34979018,3204292001018,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 019,34979019,3204292001019,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 020,34979020,3204292001020,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 021,34979021,3204292001021,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 022,34979022,3204292001022,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
TPS 023,34979023,3204292001023,5,JAWA BARAT,32,BANDUNG,3204,CIPARAY,320429,CIPARAY,3204292001
