nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,36945001,3209382001001,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 002,36945002,3209382001002,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 003,36945003,3209382001003,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 004,36945004,3209382001004,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 005,36945005,3209382001005,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 006,36945006,3209382001006,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 007,36945007,3209382001007,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 008,36945008,3209382001008,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 009,36945009,3209382001009,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 010,36945010,3209382001010,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 011,36945011,3209382001011,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 012,36945012,3209382001012,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 013,36945013,3209382001013,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 014,36945014,3209382001014,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 015,36945015,3209382001015,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 016,36945016,3209382001016,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 017,36945017,3209382001017,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 018,36945018,3209382001018,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 019,36945019,3209382001019,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 020,36945020,3209382001020,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 021,36945021,3209382001021,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 022,36945022,3209382001022,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 023,36945023,3209382001023,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 024,36945024,3209382001024,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 025,36945025,3209382001025,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 026,36945026,3209382001026,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 027,36945027,3209382001027,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
TPS 028,36945028,3209382001028,5,JAWA BARAT,32,CIREBON,3209,GREGED,320938,GUMULUNG LEBAK,3209382001
