nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,35558001,3206012003001,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 002,35558002,3206012003002,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 003,35558003,3206012003003,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 004,35558004,3206012003004,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 005,35558005,3206012003005,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 006,35558006,3206012003006,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 007,35558007,3206012003007,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 008,35558008,3206012003008,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 009,35558009,3206012003009,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 010,35558010,3206012003010,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 011,35558011,3206012003011,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 012,35558012,3206012003012,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 013,35558013,3206012003013,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 014,35558014,3206012003014,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 015,35558015,3206012003015,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 016,35558016,3206012003016,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 017,35558017,3206012003017,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 018,35558018,3206012003018,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 019,35558019,3206012003019,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
TPS 020,35558020,3206012003020,5,JAWA BARAT,32,TASIKMALAYA,3206,CIPATUJAH,320601,SINDANGKERTA,3206012003
