nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,38410001,3215072003001,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 002,38410002,3215072003002,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 003,38410003,3215072003003,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 004,38410004,3215072003004,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 005,38410005,3215072003005,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 006,38410006,3215072003006,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 007,38410007,3215072003007,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 008,38410008,3215072003008,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 009,38410009,3215072003009,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 010,38410010,3215072003010,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 011,38410011,3215072003011,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 012,38410012,3215072003012,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 013,38410013,3215072003013,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 014,38410014,3215072003014,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 015,38410015,3215072003015,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 016,38410016,3215072003016,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 017,38410017,3215072003017,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 018,38410018,3215072003018,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 019,38410019,3215072003019,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 020,38410020,3215072003020,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 021,38410021,3215072003021,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 022,38410022,3215072003022,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 023,38410023,3215072003023,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
TPS 024,38410024,3215072003024,5,JAWA BARAT,32,KARAWANG,3215,KUTAWALUYA,321507,KUTAKARYA,3215072003
