nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,38928001,3217072012001,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 002,38928002,3217072012002,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 003,38928003,3217072012003,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 004,38928004,3217072012004,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 005,38928005,3217072012005,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 006,38928006,3217072012006,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 007,38928007,3217072012007,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 008,38928008,3217072012008,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 009,38928009,3217072012009,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 010,38928010,3217072012010,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 011,38928011,3217072012011,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 012,38928012,3217072012012,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 013,38928013,3217072012013,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 014,38928014,3217072012014,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 015,38928015,3217072012015,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
TPS 016,38928016,3217072012016,5,JAWA BARAT,32,BANDUNG BARAT,3217,CIPATAT,321707,SARIMUKTI,3217072012
