nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,37046001,3210052011001,5,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005,HEUBEULISUK,3210052011
TPS 002,37046002,3210052011002,5,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005,HEUBEULISUK,3210052011
TPS 003,37046003,3210052011003,5,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005,HEUBEULISUK,3210052011
TPS 004,37046004,3210052011004,5,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005,HEUBEULISUK,3210052011
