nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,38789001,3216152006001,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 002,38789002,3216152006002,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 003,38789003,3216152006003,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 004,38789004,3216152006004,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 005,38789005,3216152006005,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 006,38789006,3216152006006,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 007,38789007,3216152006007,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 008,38789008,3216152006008,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 009,38789009,3216152006009,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 010,38789010,3216152006010,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 011,38789011,3216152006011,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 012,38789012,3216152006012,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 013,38789013,3216152006013,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 014,38789014,3216152006014,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 015,38789015,3216152006015,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 016,38789016,3216152006016,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 017,38789017,3216152006017,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 018,38789018,3216152006018,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 019,38789019,3216152006019,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 020,38789020,3216152006020,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 021,38789021,3216152006021,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 022,38789022,3216152006022,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 023,38789023,3216152006023,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 024,38789024,3216152006024,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 025,38789025,3216152006025,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 026,38789026,3216152006026,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 027,38789027,3216152006027,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 028,38789028,3216152006028,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
TPS 029,38789029,3216152006029,5,JAWA BARAT,32,BEKASI,3216,SUKATANI,321615,BANJARSARI,3216152006
