nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,35874001,3206362003001,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 002,35874002,3206362003002,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 003,35874003,3206362003003,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 004,35874004,3206362003004,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 005,35874005,3206362003005,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 006,35874006,3206362003006,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 007,35874007,3206362003007,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 008,35874008,3206362003008,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 009,35874009,3206362003009,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 010,35874010,3206362003010,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 011,35874011,3206362003011,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 012,35874012,3206362003012,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 013,35874013,3206362003013,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 014,35874014,3206362003014,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 015,35874015,3206362003015,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 016,35874016,3206362003016,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 017,35874017,3206362003017,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 018,35874018,3206362003018,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 019,35874019,3206362003019,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
TPS 020,35874020,3206362003020,5,JAWA BARAT,32,TASIKMALAYA,3206,CIAWI,320636,MARGASARI,3206362003
