nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,34132001,3202052012001,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,WANGUNSARI,3202052012
TPS 002,34132002,3202052012002,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,WANGUNSARI,3202052012
TPS 003,34132003,3202052012003,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,WANGUNSARI,3202052012
TPS 004,34132004,3202052012004,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,WANGUNSARI,3202052012
TPS 005,34132005,3202052012005,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,WANGUNSARI,3202052012
TPS 006,34132006,3202052012006,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,WANGUNSARI,3202052012
TPS 007,34132007,3202052012007,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,WANGUNSARI,3202052012
TPS 008,34132008,3202052012008,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,WANGUNSARI,3202052012
TPS 009,34132009,3202052012009,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,WANGUNSARI,3202052012
TPS 010,34132010,3202052012010,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,WANGUNSARI,3202052012
TPS 011,34132011,3202052012011,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,WANGUNSARI,3202052012
TPS 012,34132012,3202052012012,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,WANGUNSARI,3202052012
