nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,37410001,3211102002001,5,JAWA BARAT,32,SUMEDANG,3211,BUAHDUA,321110,HARIANG,3211102002
TPS 002,37410002,3211102002002,5,JAWA BARAT,32,SUMEDANG,3211,BUAHDUA,321110,HARIANG,3211102002
TPS 003,37410003,3211102002003,5,JAWA BARAT,32,SUMEDANG,3211,BUAHDUA,321110,HARIANG,3211102002
TPS 004,37410004,3211102002004,5,JAWA BARAT,32,SUMEDANG,3211,BUAHDUA,321110,HARIANG,3211102002
TPS 005,37410005,3211102002005,5,JAWA BARAT,32,SUMEDANG,3211,BUAHDUA,321110,HARIANG,3211102002
TPS 006,37410006,3211102002006,5,JAWA BARAT,32,SUMEDANG,3211,BUAHDUA,321110,HARIANG,3211102002
TPS 007,37410007,3211102002007,5,JAWA BARAT,32,SUMEDANG,3211,BUAHDUA,321110,HARIANG,3211102002
TPS 008,37410008,3211102002008,5,JAWA BARAT,32,SUMEDANG,3211,BUAHDUA,321110,HARIANG,3211102002
TPS 009,37410009,3211102002009,5,JAWA BARAT,32,SUMEDANG,3211,BUAHDUA,321110,HARIANG,3211102002
TPS 010,37410010,3211102002010,5,JAWA BARAT,32,SUMEDANG,3211,BUAHDUA,321110,HARIANG,3211102002
